userId|John Wick|Dunkirk|Star Wars: The Last Jedi (With Bonus Content)|Kong: Skull Island|Blade Runner 2049|Guardians of the Galaxy Vol. 2 (Theatrical)|Get Out|Alien: Covenant|Spider-Man: Homecoming|Split|Kingsman: The Golden Circle|Transformers: The Last Knight|Baby Driver|Baywatch|The Mummy (2017)|The Shack|Wonder Woman|The Shape of Water|The Boss Baby|Fifty Shades Darker (Unrated Version)|Murder on the Orient Express|Pirates of the Caribbean: Dead Men Tell No Tales (Theatrical Version)|The LEGO Batman Movie|Beauty and the Beast (2017) (Theatrical Version)|Three Billboards Outside Ebbing, Missouri|A Dog's Purpose|War for the Planet of the Apes|The Emoji Movie|Girls Trip|Darkest Hour|Jumanji: Welcome To The Jungle|Daddy's Home 2|Justice League|A Bad Moms Christmas|Annabelle Creation|Captain Underpants: The First Epic Movie|Despicable Me 3|Thor: Ragnarok (Theatrical Version)|Happy Death Day|Pitch Perfect 3|Cars 3 (Theatrical)|Wonder|The LEGO NINJAGO Movie|The Post|Coco (Theatrical Version)|Ferdinand |The Greatest Showman|﻿"Title"
John|4.0|0|2.0|1.0|0|2.0|1.0|1.0|4.0|4.0|2.0|1.0|4.0|4.0|0|0|0|0|0|3.0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0
GLORIA JULIA A. DAVIS|0|0|0|0|0|0|3.0|3.0|0|4.0|0|0|0|2.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Laura|0|0|0|0|0|0|0|0|0|0|3.0|0|0|2.0|0|3.0|0|0|1.0|0|0|0|0|4.0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Poseidon|4.0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Mark Turner|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|4.0|0|0|0
Courtney|0|1.0|0|4.0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
vuitre_viejo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|3.0|3.0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Maverick|0|0|0|4.0|2.0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
art mills|0|0|0|3.0|1.0|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Steven|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Susan J Montague|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Keith|4.0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Amber|0|0|0|0|0|0|3.0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0
Aaron|4.0|2.0|0|0|2.0|0|0|1.0|0|0|0|2.0|0|0|0|0|4.0|1.0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
joseph|4.0|0|1.0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
AndyKhounsacknarath|0|3.0|0|0|0|4.0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
The Movie Man|0|0|0|0|3.0|4.0|0|0|0|4.0|0|0|0|0|0|2.0|0|0|0|0|0|0|3.0|0|0|0|0|0|3.0|4.0|0|0|0|0|4.0|0|0|0|0|3.0|3.0|4.0|3.0|0|4.0|0|0|0
Josh|0|0|1.0|4.0|1.0|4.0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|2.0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Too Busy to Go to Store Mom|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Tracy|0|0|0|0|2.0|0|0|0|0|0|1.0|0|0|0|1.0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Charles|0|1.0|0|0|0|0|0|0|4.0|0|1.0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0
HolyJIEbus|0|0|4.0|0|4.0|4.0|0|4.0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|4.0|0|0|0|0|0|0|0|0|0
Wes|3.0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Kevin|4.0|0|1.0|3.0|0|2.0|0|0|4.0|0|1.0|4.0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|4.0|0|0|0|0|0|0|0|0|1.0|0|0|0|0
MC|0|1.0|0|2.0|0|0|1.0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|4.0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
MB|0|0|1.0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0
MJ|0|0|0|2.0|0|4.0|4.0|0|0|0|0|0|0|0|0|0|4.0|0|0|4.0|0|0|3.0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Boo|0|0|0|0|0|0|2.0|0|2.0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Grady Harp|0|4.0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
LordMaul|0|0|0|4.0|0|4.0|0|0|0|4.0|4.0|0|0|0|4.0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Elizabeth|4.0|0|0|0|0|0|0|0|0|0|3.0|0|4.0|1.0|0|0|0|0|0|1.0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0
Joy|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|3.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
