userId|John Wick|Dunkirk|Star Wars: The Last Jedi (With Bonus Content)|Kong: Skull Island|Blade Runner 2049|Guardians of the Galaxy Vol. 2 (Theatrical)|Get Out|Alien: Covenant|Spider-Man: Homecoming|Split|Kingsman: The Golden Circle|Transformers: The Last Knight|Baby Driver|Baywatch|The Mummy (2017)|The Shack|Wonder Woman|The Shape of Water|The Boss Baby|Fifty Shades Darker (Unrated Version)|Murder on the Orient Express|Pirates of the Caribbean: Dead Men Tell No Tales (Theatrical Version)|The LEGO Batman Movie|Beauty and the Beast (2017) (Theatrical Version)|Three Billboards Outside Ebbing, Missouri|A Dog's Purpose|War for the Planet of the Apes|The Emoji Movie|Girls Trip|Darkest Hour|Jumanji: Welcome To The Jungle|Daddy's Home 2|Justice League|A Bad Moms Christmas|Annabelle Creation|Captain Underpants: The First Epic Movie|Despicable Me 3|Thor: Ragnarok (Theatrical Version)|Happy Death Day|Pitch Perfect 3|Cars 3 (Theatrical)|Wonder|The LEGO NINJAGO Movie|The Post|Coco (Theatrical Version)|Ferdinand |The Greatest Showman|﻿"Title"
MacJunegrand|0|0|0.980225988701|0|0|0|0|0|0.983448275862|0|0|0.982832618026|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.979945305378|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
John|1.0|0|1.0|1.0|0|0.959595959596|0.913978494624|1.0|1.0|1.0|1.0|0.928571428571|1.0|1.0|0|0|0|0|0|1.0|0|0.970297029703|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.990476190476|0|0|0|0
GLORIA JULIA A. DAVIS|0|0|0|0|0|0|1.0|0.888888888889|0|1.0|0|0|0|1.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Laura|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0.948717948718|0|1.0|0|0|1.0|0|0|0|0|0.963636363636|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Poseidon|1.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Mark Turner|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.992718446602|0|0|0|0.981132075472|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0.99481865285|0|0|0
Courtney|0|1.0|0|0.882352941176|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
vuitre_viejo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|1.0|0.777777777778|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Maverick|0|0|0|1.0|1.0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
art mills|0|0|0|1.0|1.0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Steven|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.866666666667|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Susan J Montague|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Keith|0.923076923077|0|0.987096774194|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Amber|0|0|0|0|0|0|1.0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0
Aaron|1.0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.0|0|0|0|0|1.0|1.0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
joseph|1.0|0|0.963302752294|0|0|0|0|0|0.875|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
AndyKhounsacknarath|0|0.866666666667|0|0|0|0.894736842105|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
The Movie Man|0|0|0|0|0.934065934066|0.959946595461|0|0|0|0.964093357271|0|0|0|0|0|0.980066445183|0|0|0|0|0|0|0.967611336032|0|0|0|0|0|0.978798586572|0.982404692082|0|0|0|0|0.961070559611|0|0|0|0|0.957295373665|0.965277777778|0.985250737463|0.946127946128|0|0.975975975976|0|0|0
Josh|0|0|1.0|0.985130111524|0.944444444444|0.969309462916|0|0|0|0|0.953488372093|0|0|0|0|0|0|0|0|0|0|0.963636363636|0|0|0|0|0|0|0|0|0.983305509182|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Too Busy to Go to Store Mom|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.984848484848|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Tracy|0|0|0|0|1.0|0|0|0|0|0|1.0|0|0|0|1.0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Charles|0|1.0|0|0|0|0|0|0|0.974683544304|0|1.0|0|0|0|0.84|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.974683544304|0|0|0|0|0|0|0|0|0|0|0|0|0|0.985915492958|0|0|0|0
HolyJIEbus|0|0|0.91847826087|0|0.969626168224|0.948919449902|0|0.926136363636|0|0|0|0|0.94094488189|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.963060686016|0|0|0|0.95498392283|0|0|0|0|0|0|0|0|0
Wes|1.0|0|0|0|0|0|0|0|0|0|0.960784313725|0|0|0|0|0|0|0|0|0|0|0|0|0.969696969697|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Kevin|1.0|0|1.0|1.0|0|1.0|0|0|1.0|0|1.0|1.0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0.988439306358|0|0|0|0|0|0|0|0|1.0|0|0|0|0
MC|0|1.0|0|0.954545454545|0|0|1.0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0.971428571429|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
MB|0|0|0.985088536813|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.991228070175|0|0|0|0
MJ|0|0|0|1.0|0|0.989247311828|1.0|0|0|0|0|0|0|0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Boo|0|0|0|0|0|0|0.977011494253|0|1.0|0.972027972028|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Grady Harp|0|0.974276527331|0|0|0|0|0.984674329502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.952662721893|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
LordMaul|0|0|0|1.0|0|0.973684210526|0|0|0|1.0|1.0|0|0|0|1.0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Elizabeth|1.0|0|0|0|0|0|0|0|0|0|1.0|0|0.913043478261|1.0|0|0|0|0|0|1.0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0
Joy|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|1.0|0.891891891892|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Joe|1.0|0|1.0|1.0|0|1.0|0|1.0|0|0|0|0.833333333333|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.910447761194|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Jon|0.931034482759|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
amanda|0|0|0|0|0|0|1.0|0|0|0|0|1.0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Patrick|0|0|1.0|1.0|0|1.0|0|0|1.0|1.0|0|0|0.75|0|0|1.0|1.0|0|0|0|1.0|0|0|0.964912280702|0|1.0|0|0|0|0|1.0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0
